feature_id,gene_symbol,mapping_source_column,has_gene_symbol
7904211,VANGL1,gene_assignment,True
7904226,SLC22A15,gene_assignment,True
7904244,C1ORF161,gene_assignment,True
7904252,,,False
7904254,ATP1A1,gene_assignment,True
7904281,ENST00000369482,gene_assignment,True
7904287,CD2,gene_assignment,True
7904293,PTGFRN,gene_assignment,True
7904303,CD101,gene_assignment,True
7904314,TTF2,gene_assignment,True
7904340,MAN1A2,gene_assignment,True
7904361,FAM46C,gene_assignment,True
7904364,WDR3,gene_assignment,True
7904394,,,False
7904396,HAO2,gene_assignment,True
7904408,HSD3B2,gene_assignment,True
7904414,HSD3B1,gene_assignment,True
7904417,,,False
7904421,HSD3B1,gene_assignment,True
7904429,HSD3BP4,gene_assignment,True
7904431,,,False
7904433,PHGDH,gene_assignment,True
7904448,,,False
7904450,,,False
7904452,AB096683,gene_assignment,True
7904463,,,False
7904465,HIST2H2BA,gene_assignment,True
7904469,SRGAP2,gene_assignment,True
7904478,AF172850,gene_assignment,True
7904480,,,False
7904482,SRGAP2P2,gene_assignment,True
7904486,AK294414,gene_assignment,True
7904500,ENST00000436832,gene_assignment,True
7904506,NBPF10,gene_assignment,True
7904562,AK294944,gene_assignment,True
7904569,ENST00000310701,gene_assignment,True
7904572,,,False
7904574,NBPF16,gene_assignment,True
7904691,,,False
7904693,,,False
7904695,SEC22B,gene_assignment,True
7904702,NOTCH2NL,gene_assignment,True
7904715,,,False
7904717,HFE2,gene_assignment,True
7904726,TXNIP,gene_assignment,True
7904737,ANKRD34A,gene_assignment,True
7904742,LIX1L,gene_assignment,True
7904751,BC017770,gene_assignment,True
7904755,PEX11B,gene_assignment,True
7904761,ITGA10,gene_assignment,True
7904796,ANKRD35,gene_assignment,True
7904812,PIAS3,gene_assignment,True
7904830,RNF115,gene_assignment,True
7904843,PDZK1,gene_assignment,True
7904853,GPR89A,gene_assignment,True
7904869,FAM108A1,gene_assignment,True
7904872,,,False
7904874,NBPF11,gene_assignment,True
7904879,,,False
7904881,PDIA3P,gene_assignment,True
7904883,CHD1L,gene_assignment,True
7904907,BCL9,gene_assignment,True
7904923,,,False
7904927,GJA8,gene_assignment,True
7904930,GPR89B,gene_assignment,True
7904948,FAM108A1,gene_assignment,True
7904951,,,False
7904953,,,False
7904963,,,False
7904965,AB042555,gene_assignment,True
7904967,,,False
7904969,VOPP1,gene_assignment,True
7904974,C1ORF152,gene_assignment,True
7904976,NBPF15,gene_assignment,True
7904997,PPIAL4A,gene_assignment,True
7904999,NBPF16,gene_assignment,True
7905016,PPIAL4A,gene_assignment,True
7905018,AK095105,gene_assignment,True
7905020,DRD5,gene_assignment,True
7905025,DRD5,gene_assignment,True
7905028,LOC645166,gene_assignment,True
7905043,LOC388692,gene_assignment,True
7905047,FCGR1A,gene_assignment,True
7905051,PPIAL4A,gene_assignment,True
7905054,,,False
7905058,LOC388692,gene_assignment,True
7905060,FCGR1A,gene_assignment,True
7905067,HIST2H4A,gene_assignment,True
7905077,,,False
7905079,HIST2H2AA3,gene_assignment,True
7905085,HIST2H3A,gene_assignment,True
7905088,HIST2H2AC,gene_assignment,True
7905092,BOLA1,gene_assignment,True
7905099,VPS45,gene_assignment,True
7905116,PLEKHO1,gene_assignment,True
7905127,,,False
7905129,,,False
7905131,CA14,gene_assignment,True
7905145,,,False
7905147,C1ORF54,gene_assignment,True
7905154,BC027999,gene_assignment,True
7905163,MRPS21,gene_assignment,True
7905171,PRPF3,gene_assignment,True
7905185,RPRD2,gene_assignment,True
7905198,TARS2,gene_assignment,True
