feature_id,missing_n,mean_expression,sd_expression
ADAMTS9,0,7.791870076006889,0.7048165175876318
ADAMTSL1,0,6.179164875496552,0.06885979448201285
ADAMTSL2,0,8.164955388786208,0.44649835299602675
ADAMTSL3,0,6.8970431026000005,0.32940401221273585
ADAMTSL4,0,6.74147787905517,0.20856442378651155
ADAMTSL5,0,7.361814284475863,0.29947159608319085
ADAP2,0,7.719722424593103,0.5055645859149043
ADAR,0,8.886213435406898,0.19753431720639272
ADARB1,0,7.5625552323448275,0.1966512010883845
ADARB2,0,6.179124657379308,0.1329705978541077
ADAT1,0,7.250589098275859,0.20078328999381692
ADAT3,0,6.289931242448272,0.1870544430415986
ADC,0,6.628062533951722,0.24810655821856578
ADCK1,0,7.343533568551724,0.22063154702427784
ADCK2,0,7.8148489103655185,0.2775939577263711
ADCK4,0,6.562598785137933,0.33803292577774224
ADCK5,0,6.805250023751726,0.17387450382487774
ADCY1,0,6.588626681344829,0.2317831189644132
ADCY2,0,6.60475697665517,0.16525196266735745
ADCY3,0,9.21726260842069,0.4719654185379525
ADCY4,0,8.629223939868961,0.34632762512484333
ADCY5,0,7.6632398034137905,0.3966787586935341
ADCY6,0,8.685094568296554,0.3823391392214658
ADCY7,0,6.672509142275865,0.16290953440589384
ADCY8,0,6.037906512710346,0.15714791191922953
ADCY9,0,8.184941230448276,0.26459211233295415
ADCYAP1,0,6.290064155517241,0.1558457832972075
ADCYAP1R1,0,6.027571001620689,0.12603011352181173
ADD1,0,10.755888160137928,0.19771990718004967
ADD2,0,6.052751512275861,0.08053483395136309
ADD3,0,8.653261651855171,0.3379600311182738
ADFP,0,9.550061748751723,0.8281505932771765
ADH1A,0,8.785709048593104,0.8772139977950641
ADH1B,0,6.868448620737932,0.47243641141824205
ADH1C,0,6.492224320634483,0.335380579949931
ADH4,0,6.0056938293724125,0.09983140816857264
ADH5,0,7.219504077275864,0.4589502920822928
ADH6,0,6.256292762268968,0.12332977533397607
ADH7,0,5.964322390013794,0.1305239348863269
ADHFE1,0,9.71280576328965,0.36545025757658556
ADI1,0,8.061842271986205,0.6394870845196983
ADIG,0,6.233555868193103,0.14563408430289834
ADIPOQ,0,6.285628069937929,0.14708519526546251
ADIPOR1,0,9.0340060278,0.22069626266397518
ADIPOR2,0,9.284555927648274,0.26976562029782986
ADK,0,7.59195670206207,0.21376015165030268
ADM,0,10.078296207751722,0.6206333278801506
ADM2,0,6.8165437553793105,0.19474354999811186
ADNP,0,7.39572458830345,0.18256582307014824
ADNP2,0,7.772795012717243,0.24238889418238663
ADO,0,8.680798630813792,0.28386317796216004
ADORA1,0,6.7127984150068984,0.29375568196040686
ADORA2A,0,6.899434949393103,0.264849507658187
ADORA2B,0,6.58499732202759,0.18860077686067322
ADORA3,0,7.6999094888827555,0.22002359398463714
ADPGK,0,7.212957688000004,0.18173800615243782
ADPRH,0,6.273660493351728,0.311690811178063
ADPRHL1,0,10.30899722644138,0.5531052994974472
ADPRHL2,0,7.2325211877310345,0.36018095507132325
ADRA1A,0,6.302073733013793,0.11469432653379742
