gene_symbol,MCI,primary_tier_normalized,primary_rank,held_out_cohort,remaining_cohorts,n_remaining_cohorts,loo_D_g,loo_S_g,loo_R_g,loo_MCI,loo_tier_normalized,loo_rank,MCI_change,absolute_MCI_change,rank_change,absolute_rank_change,tier_match
TNNT2,0.2142705021088397,UNSTABLE,40.0,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.0,0.0,UNSTABLE,40.5,-0.2142705021088397,0.2142705021088397,0.5,0.5,True
CACNA1C,0.1333333333333333,UNSTABLE,43.5,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.0,0.0,UNSTABLE,40.5,-0.1333333333333333,0.1333333333333333,-3.0,3.0,True
DES,0.1333333333333333,UNSTABLE,43.5,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.0,0.0,UNSTABLE,40.5,-0.1333333333333333,0.1333333333333333,-3.0,3.0,True
JPH2,0.1333333333333333,UNSTABLE,43.5,GSE249925,GSE141910;GSE36961,2,0.0,0.13325736540930144,0.0,0.0466400778932555,UNSTABLE,37.0,-0.0866932554400778,0.0866932554400778,-6.5,6.5,True
MYBPC3,0.1333333333333333,UNSTABLE,43.5,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.0,0.0,UNSTABLE,40.5,-0.1333333333333333,0.1333333333333333,-3.0,3.0,True
MYO6,0.1333333333333333,UNSTABLE,43.5,GSE249925,GSE141910;GSE36961,2,0.0,0.0,0.0,0.0,UNSTABLE,40.5,-0.1333333333333333,0.1333333333333333,-3.0,3.0,True
TTN,0.1333333333333333,UNSTABLE,43.5,GSE249925,GSE141910;GSE36961,2,0.0,0.192571542675662,0.0,0.06740003993648169,UNSTABLE,36.0,-0.06593329339685161,0.06593329339685161,-7.5,7.5,True
CEP85L,0.0,UNSTABLE,47.0,GSE249925,GSE141910,1,,,0.0,,INSUFFICIENT_COVERAGE,,,,,,False
MYH6,0.968060359673416,HIGH,1.0,GSE36961,GSE141910;GSE249925,2,1.0,0.9797254879737259,1.0,0.9929039207908041,HIGH,1.0,0.02484356111738817,0.02484356111738817,0.0,0.0,True
TNNI3,0.9617210925247786,HIGH,2.0,GSE36961,GSE141910;GSE249925,2,1.0,0.9137533158833041,1.0,0.9698136605591565,HIGH,3.0,0.008092568034377967,0.008092568034377967,1.0,1.0,True
GLA,0.9600291718029872,HIGH,3.0,GSE36961,GSE141910;GSE249925,2,1.0,0.8411902194968628,1.0,0.9444165768239019,HIGH,6.0,-0.015612594979085292,0.015612594979085292,3.0,3.0,True
ACTN2,0.9347924185794564,HIGH,4.0,GSE36961,GSE141910;GSE249925,2,1.0,0.8760888546776276,1.0,0.9566310991371697,HIGH,5.0,0.02183868055771332,0.02183868055771332,1.0,1.0,True
TMEM43,0.9294960052251762,HIGH,5.0,GSE36961,GSE141910;GSE249925,2,1.0,0.7107003625311981,1.0,0.8987451268859193,HIGH,7.0,-0.030750878339256826,0.030750878339256826,2.0,2.0,True
TINF2,0.9040539606172328,HIGH,6.0,GSE36961,GSE141910;GSE249925,2,1.0,0.6031625183160558,1.0,0.8611068814106195,HIGH,10.0,-0.042947079206613226,0.042947079206613226,4.0,4.0,True
KCNH2,0.8813520672732007,HIGH,7.0,GSE36961,GSE141910;GSE249925,2,1.0,0.9292381250366818,1.0,0.9752333437628387,HIGH,2.0,0.09388127648963795,0.09388127648963795,-5.0,5.0,True
BAG3,0.8281811808437982,HIGH,8.0,GSE36961,GSE141910;GSE249925,2,1.0,0.6286301382855438,0.5,0.7450205483999404,HIGH,13.0,-0.08316063244385785,0.08316063244385785,5.0,5.0,True
TRIM63,0.8197933145443262,HIGH,9.0,GSE36961,GSE141910;GSE249925,2,1.0,0.9649734820440402,0.5,0.8627407187154141,HIGH,9.0,0.04294740417108789,0.04294740417108789,0.0,0.0,True
RBM20,0.8035740008093487,HIGH,10.0,GSE36961,GSE141910;GSE249925,2,1.0,0.5153282805821431,0.5,0.7053648982037501,HIGH,18.0,-0.09820910260559856,0.09820910260559856,8.0,8.0,True
CAV3,0.8000427752056666,HIGH,11.0,GSE36961,GSE141910;GSE249925,2,1.0,0.48959090050672915,0.5,0.6963568151773551,MODERATE,19.0,-0.10368596002831143,0.10368596002831143,8.0,8.0,False
ALPK3,0.7976057316404546,HIGH,12.0,GSE36961,GSE141910;GSE249925,2,1.0,0.8951398336648695,1.0,0.9632989417827043,HIGH,4.0,0.1656932101422497,0.1656932101422497,-8.0,8.0,True
PMS2,0.7754141536439366,HIGH,13.0,GSE36961,GSE141910;GSE249925,2,1.0,0.559879344482098,0.5,0.7209577705687343,HIGH,16.0,-0.054456383075202286,0.054456383075202286,3.0,3.0,True
TNNC1,0.7751828097694213,HIGH,14.0,GSE36961,GSE141910;GSE249925,2,1.0,0.7647505578822614,0.0,0.6676626952587915,MODERATE,22.0,-0.10752011451062982,0.10752011451062982,8.0,8.0,False
KIF5B,0.7695246707816087,HIGH,15.0,GSE36961,GSE141910;GSE249925,2,1.0,0.3246882683679636,0.5,0.6386408939287873,MODERATE,30.0,-0.13088377685282138,0.13088377685282138,15.0,15.0,False
MYL3,0.7526322412963301,HIGH,16.0,GSE36961,GSE141910;GSE249925,2,1.0,0.4305754193194953,0.5,0.6757013967618234,MODERATE,21.0,-0.07693084453450671,0.07693084453450671,5.0,5.0,False
FLNC,0.7283850847571424,HIGH,17.0,GSE36961,GSE141910;GSE249925,2,1.0,0.34517813841471234,0.5,0.6458123484451493,MODERATE,27.0,-0.08257273631199302,0.08257273631199302,10.0,10.0,False
MT-TL1,0.7086829235607361,HIGH,18.0,GSE36961,GSE141910;GSE249925,2,1.0,0.5248083530306746,0.5,0.7086829235607361,HIGH,17.0,0.0,0.0,-1.0,1.0,True
LAMP2,0.6903439971857486,MODERATE,19.0,GSE36961,GSE141910;GSE249925,2,1.0,0.7798928271974599,0.5,0.797962489519111,HIGH,11.0,0.1076184923333624,0.1076184923333624,-8.0,8.0,False
RAF1,0.6752302474844579,MODERATE,20.0,GSE36961,GSE141910;GSE249925,2,1.0,0.6223245515143103,0.5,0.7428135930300086,HIGH,14.0,0.06758334554555068,0.06758334554555068,-6.0,6.0,False
