dataset,contrast,gene_symbol,log2FC,SE,t_stat,p_value,FDR,mean_DCM_HF,mean_Control,n_DCM_HF,n_Control,abs_log2FC,direction
GSE57338,DCM_HF_vs_Control,GPR114,0.03689023559284643,0.021096647672694525,1.7486302167615764,0.08134158374631185,0.1324391232175221,4.263262336423734,4.226372100830884,177,136,0.03689023559284643,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,RND1,0.05465965626080105,0.031260947226526004,1.7484964823593196,0.08136475929546436,0.1324663106115951,3.911332256451975,3.8566726001911764,177,136,0.05465965626080105,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SEP15,-0.046105666611705676,0.026370007269326392,-1.7484131172514243,0.08137920880474232,0.13247928833441971,9.171919698248587,9.218025364860289,177,136,0.046105666611705676,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,NDUFA11,-0.044109920964066074,0.025229998400911557,-1.7483124756152337,0.08139665560838649,0.13249714297472767,7.0850255327344644,7.129135453698531,177,136,0.044109920964066074,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,KCNJ1,-0.029010339889082637,0.016595086752600505,-1.7481282455204172,0.08142860085172403,0.13253859339523688,2.6688690649491535,2.6978794048382357,177,136,0.029010339889082637,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,AK128225,-0.03657331994333646,0.020923114151587437,-1.7479864459164,0.08145319566866088,0.13256807412846122,4.075482638909604,4.112055958852942,177,136,0.03657331994333646,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,KATNA1,-0.042016871465104355,0.024038830086418533,-1.7478750552358646,0.08147252037523217,0.13258897355351726,6.363612162152544,6.405629033617648,177,136,0.042016871465104355,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,HIC1,-0.05876911950693753,0.03362488251044031,-1.7477866127469768,0.08148786655765378,0.1326033954885032,5.288142259632768,5.346911379139705,177,136,0.05876911950693753,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,ZNF521,0.06764232446365126,0.038704846820716086,1.7476448047185371,0.08151247743149212,0.13263289015547533,6.641445732632773,6.573803408169116,177,136,0.06764232446365126,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SEC14L5,0.050908200872258114,0.02913435865118465,1.7473595860394238,0.08156199566841109,0.1327029048785907,4.921089587423725,4.8701813865514705,177,136,0.050908200872258114,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,DHRS13,-0.033444891602691484,0.01914065780614447,-1.747321954209699,0.0815685309490976,0.1327029799450315,4.910541825779659,4.943986717382349,177,136,0.033444891602691484,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,AKAP14,-0.024274140589772397,0.013902294656886739,-1.7460528055883053,0.08178918603997096,0.13305137654263036,2.4369539178587574,2.46122805844853,177,136,0.024274140589772397,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SRGAP2,-0.05633453955568557,0.03226627224412695,-1.7459264934436136,0.08181117335720045,0.13307655863464438,7.3532409689774,7.409575508533087,177,136,0.05633453955568557,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,C17ORF44,-0.03236816068033388,0.01854022664827101,-1.7458341418578294,0.08182725216523798,0.13309146193098295,3.3721164319152535,3.4044845925955887,177,136,0.03236816068033388,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CBL,-0.05217698263418091,0.02988716300637811,-1.7457991119145706,0.08183335170269827,0.13309146193098295,6.995256767615815,7.0474337502500015,177,136,0.05217698263418091,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,EPS8L1,-0.03183299912080395,0.018235146590975856,-1.7456947199183663,0.08185153100371187,0.1331104420696547,3.7926545227909605,3.8244875219117667,177,136,0.03183299912080395,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,CYP27C1,0.03366737490009197,0.0192934838406055,1.7450127295949973,0.08197037693998598,0.13329311453742948,3.213894755819209,3.1802273809191197,177,136,0.03366737490009197,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,SLC28A1,0.03257291404681806,0.018669198217892636,1.7447409185253624,0.08201778283332659,0.13335959759414237,4.098937220112995,4.06636430606618,177,136,0.03257291404681806,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,PPP6R3,-0.026707032809322406,0.015308982934064493,-1.7445334496974165,0.0820539819897714,0.13340259759917789,8.792425235440673,8.819132268249996,177,136,0.026707032809322406,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,MRPL44,0.04874839280363075,0.02794381507077008,1.7445145797082935,0.08205727507090751,0.13340259759917789,6.979958322090398,6.931209929286763,177,136,0.04874839280363075,up_in_DCM_HF
GSE57338,DCM_HF_vs_Control,BC034752,-0.03901950071302762,0.02237016506469638,-1.7442652121779154,0.08210080336390566,0.133453363095789,4.382047540316383,4.42106704102941,177,136,0.03901950071302762,down_in_DCM_HF
GSE57338,DCM_HF_vs_Control,BX648692,-0.05133162327114449,0.029428867403684052,-1.7442609179284467,0.08210155311042158,0.133453363095789,3.43628790919209,3.4876195324632353,177,136,0.05133162327114449,down_in_DCM_HF
