feature_id,gene_symbol,cohort,disease,comparison,model,n_hcm,n_control,mean_expression_hcm,mean_expression_control,log2FC,SE,t_stat,p_value,FDR,abs_log2FC
ZNF415,ZNF415,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.581997982632078,7.9922771153589744,0.5897208672730991,0.043502627101521016,13.555982858158933,1.9271518230587904e-27,7.519070917060101e-25,0.5897208672730991
DOCK2,DOCK2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.987927515358493,7.857611961410257,-0.8696844460517674,0.06432097777278738,-13.521007860357955,2.3742174166273958e-27,9.168840035681676e-25,0.8696844460517674
C1ORF162,C1ORF162,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.002631263688679,9.045153381974359,-1.0425221182856808,0.07712062695168724,-13.518071098394676,2.416182554499562e-27,9.236651005817215e-25,1.0425221182856808
LAPTM5,LAPTM5,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.081213683273587,8.211917471076923,-1.1307037878033404,0.0837128685219584,-13.506929194604647,2.5822650333713932e-27,9.75537236775433e-25,1.1307037878033404
C1QB,C1QB,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.924726281301885,9.393352410333334,-1.4686261290314477,0.10874232353700747,-13.505561415851494,2.6034260136954694e-27,9.75537236775433e-25,1.4686261290314477
HEG1,HEG1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.217546676660378,8.542958622179489,0.6745880544808878,0.05000938781427708,13.489228402198137,2.8699466303182005e-27,1.0648627467747315e-24,0.6745880544808878
LRRC8A,LRRC8A,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.360079963952828,8.321127268538461,-0.9610473045856334,0.07142552089316478,-13.45523690367098,3.5155027944694705e-27,1.291725424849433e-24,0.9610473045856334
CEBPB,CEBPB,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,10.976458316415094,11.988871852307694,-1.0124135358926,0.07529100941596881,-13.446672368266492,3.699927100672798e-27,1.3464177024236798e-24,1.0124135358926
C5ORF4,C5ORF4,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.107665424386796,6.540618820846154,0.5670466035406372,0.04221996636320261,13.430768718822439,4.0684798257427036e-27,1.4664351189053178e-24,0.5670466035406372
ZNF627,ZNF627,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.9708106970754775,7.500806849717948,0.4700038473575225,0.03505634813738204,13.40709664097436,4.686261450952997e-27,1.673172178044973e-24,0.4700038473575225
FGD2,FGD2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.549343931971696,7.2551113597692325,-0.7057674277975343,0.05268001374932657,-13.397252156308642,4.970070035183847e-27,1.7579184163697934e-24,0.7057674277975343
CD14,CD14,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.548597340349058,10.942216937282053,-1.3936195969329963,0.10404850156955027,-13.393942016564688,5.069315627111983e-27,1.7764196224414824e-24,1.3936195969329963
CD68,CD68,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.252636260377361,9.19072420620513,-0.9380879458277706,0.07018191898656655,-13.36651888939271,5.97169519223464e-27,2.073438314177176e-24,0.9380879458277706
MBP,MBP,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,9.135902959603774,8.173007482384614,0.9628954772191567,0.07223020071283723,13.33092622914482,7.386997088627173e-27,2.541529925601673e-24,0.9628954772191567
MASP1,MASP1,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,10.134830153056605,9.309636047333335,0.8251941057232695,0.06194176364763993,13.322095741694474,7.787345294664154e-27,2.655133964160897e-24,0.8251941057232695
TSPYL2,TSPYL2,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.850743413820757,7.538344940794871,-0.6876015269741178,0.05163915759100964,-13.31550627568388,8.100186841093197e-27,2.7371399213215458e-24,0.6876015269741178
S100A10,S100A10,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,11.150582902169807,12.186179621282049,-1.0355967191122417,0.07779297227735545,-13.312214314424528,8.261159700901244e-27,2.7668305313301637e-24,1.0355967191122417
VAMP8,VAMP8,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,8.419203687386789,9.351204019102564,-0.9320003317157726,0.07007355642511982,-13.300314401934237,8.870241461952955e-27,2.9442270805167933e-24,0.9320003317157726
TKT,TKT,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,7.629478572367928,8.668729020589746,-1.0392504482218217,0.07814568841557684,-13.298884036891625,8.94641743538105e-27,2.9442270805167933e-24,1.0392504482218217
TDRD9,TDRD9,GSE36961,HCM,HCM_vs_Control,disease_only,106,39,6.528975316,7.251533465871796,-0.7225581498717963,0.05434773793709513,-13.29509152171379,9.151579322157474e-27,2.985781646779067e-24,0.7225581498717963
